tablet_name,bbox_glyph,mzl_label
P334865_r,"[24, 429, 60, 486]",661
P334865_r,"[51, 423, 109, 483]",71
P334865_r,"[107, 419, 164, 471]",599
P334865_r,"[160, 405, 239, 456]",71
P334865_r,"[248, 399, 296, 446]",839
P334865_r,"[299, 397, 333, 445]",839
P334865_r,"[29, 478, 62, 538]",861
P334865_r,"[97, 464, 166, 513]",71
P334865_r,"[168, 454, 244, 502]",496
P334865_r,"[241, 448, 294, 499]",856
P334865_r,"[295, 442, 331, 495]",839
P334865_r,"[28, 540, 61, 573]",1
P334865_r,"[56, 527, 97, 574]",464
P334865_r,"[94, 518, 145, 565]",10
P334865_r,"[140, 509, 186, 562]",10
P334865_r,"[184, 500, 262, 551]",497
P334865_r,"[265, 497, 312, 550]",10
P334865_r,"[25, 576, 77, 628]",812
P334865_r,"[71, 571, 97, 625]",661
P334865_r,"[91, 568, 141, 620]",567
P334865_r,"[140, 566, 186, 604]",112
P334865_r,"[137, 256, 198, 300]",127
P334894_r,"[224, 234, 320, 307]",252
P334894_r,"[99, 242, 222, 322]",495
P334894_r,"[315, 212, 430, 288]",14
P334894_r,"[428, 210, 484, 290]",548
P334894_r,"[107, 323, 219, 395]",248
P334894_r,"[209, 308, 338, 393]",663
P334894_r,"[337, 304, 395, 375]",748
P334894_r,"[105, 489, 183, 567]",552
P334894_r,"[183, 485, 243, 567]",839
P334894_r,"[247, 478, 311, 555]",839
P334894_r,"[125, 585, 223, 632]",1
P334894_r,"[141, 887, 274, 975]",136
P334894_r,"[265, 885, 372, 975]",815
P334894_r,"[142, 980, 275, 1046]",252
P334894_r,"[126, 1043, 186, 1117]",748
P334839_o,"[177, 118, 216, 155]",839
P334839_o,"[124, 121, 180, 163]",98
P334839_o,"[141, 156, 265, 206]",313
P334839_o,"[63, 214, 101, 268]",578
P334839_o,"[98, 201, 171, 272]",574
P334839_o,"[166, 204, 207, 255]",839
P334839_o,"[201, 198, 247, 258]",839
P334839_o,"[96, 314, 159, 371]",358
P334839_o,"[161, 303, 254, 361]",71
P334839_o,"[70, 262, 153, 316]",248
P334839_o,"[19, 385, 68, 448]",812
P334839_o,"[64, 374, 142, 431]",380
P334839_o,"[135, 365, 212, 431]",815
P334839_o,"[206, 351, 263, 417]",839
P334839_o,"[86, 426, 152, 478]",464
P334839_o,"[241, 408, 298, 463]",724
P334839_o,"[54, 484, 116, 540]",132
P334839_o,"[158, 466, 259, 521]",24
P334839_o,"[252, 459, 296, 515]",839
P334839_o,"[102, 534, 161, 581]",380
P334839_o,"[148, 522, 197, 583]",869
P334839_o,"[192, 518, 250, 571]",552
P334839_o,"[243, 507, 294, 565]",839
P334839_o,"[194, 562, 287, 622]",248
P334831_o,"[130, 96, 184, 158]",812
P334831_o,"[176, 99, 226, 149]",754
P334831_o,"[153, 144, 219, 192]",559
P334831_o,"[221, 141, 261, 193]",839
P334831_o,"[134, 193, 167, 239]",839
P334831_o,"[167, 191, 218, 239]",812
P334831_o,"[214, 193, 256, 239]",754
P334831_o,"[79, 193, 135, 240]",248
P334831_o,"[67, 229, 150, 286]",24
P334831_o,"[144, 234, 215, 286]",89
P334831_o,"[248, 227, 314, 279]",266
P334831_o,"[310, 233, 349, 269]",113
P334831_o,"[52, 283, 95, 337]",754
P334831_o,"[91, 287, 130, 337]",839
P334831_o,"[122, 284, 178, 333]",110
P334831_o,"[163, 277, 206, 333]",10
P334831_o,"[200, 278, 240, 329]",754
P334831_o,"[233, 273, 283, 327]",380
P334831_o,"[269, 274, 314, 325]",567
P334831_o,"[303, 272, 357, 320]",136
P334831_o,"[24, 332, 58, 386]",292
P334831_o,"[53, 331, 106, 387]",552
P334831_o,"[89, 347, 118, 376]",1
P334831_o,"[107, 327, 189, 380]",663
P334831_o,"[177, 318, 218, 373]",631
P334831_o,"[213, 321, 275, 376]",89
P334831_o,"[265, 323, 321, 367]",490
P334831_o,"[314, 322, 365, 369]",511
P334831_o,"[56, 373, 132, 436]",635
P334831_o,"[115, 371, 186, 425]",567
P334831_o,"[164, 368, 218, 421]",112
P334831_o,"[204, 367, 239, 424]",661
P334831_o,"[235, 363, 282, 423]",839
P334831_o,"[276, 364, 340, 414]",496
P334831_o,"[338, 356, 393, 408]",89
P334831_o,"[34, 429, 81, 472]",10
P334831_o,"[72, 426, 119, 476]",464
P334831_o,"[106, 419, 155, 474]",117
P334831_o,"[148, 422, 185, 464]",1
P334831_o,"[178, 427, 203, 457]",1
P334831_o,"[193, 416, 235, 471]",464
P334831_o,"[225, 415, 270, 463]",380
P334831_o,"[263, 411, 353, 462]",260
P334831_o,"[53, 469, 109, 522]",118
P334831_o,"[25, 472, 66, 515]",252
P334831_o,"[103, 467, 179, 521]",560
P334831_o,"[165, 460, 230, 516]",140
P334831_o,"[225, 457, 267, 513]",552
P334831_o,"[264, 459, 296, 508]",839
P334831_o,"[287, 458, 318, 507]",748
P334831_o,"[313, 451, 353, 503]",566
P334831_o,"[61, 518, 117, 566]",754
P334831_o,"[115, 515, 182, 560]",296
P334831_o,"[176, 511, 253, 558]",248
P334831_o,"[245, 504, 315, 552]",724
P334831_o,"[309, 500, 391, 544]",736
P334831_o,"[57, 562, 85, 615]",839
P334831_o,"[80, 560, 111, 614]",748
P334831_o,"[96, 559, 172, 607]",724
P334831_o,"[138, 562, 168, 604]",834
P334831_o,"[163, 556, 202, 607]",753
P334831_o,"[196, 553, 244, 601]",812
P334831_o,"[237, 550, 289, 599]",754
P334831_o,"[298, 543, 360, 589]",884
P334865_o,"[36, 142, 101, 185]",663
P334865_o,"[95, 138, 159, 178]",514
P334865_o,"[112, 180, 168, 225]",71
P334865_o,"[164, 179, 188, 222]",839
P334865_o,"[188, 177, 234, 214]",736
P334865_o,"[36, 232, 87, 278]",71
P334865_o,"[88, 222, 147, 270]",248
P334865_o,"[148, 218, 232, 267]",297
P334865_o,"[85, 272, 124, 312]",113
P334865_o,"[120, 269, 189, 314]",380
P334865_o,"[30, 327, 67, 370]",552
P334865_o,"[65, 318, 90, 372]",839
P334865_o,"[88, 313, 137, 361]",298
P334865_o,"[135, 309, 178, 351]",358
P334865_o,"[176, 302, 211, 352]",869
P334865_o,"[204, 300, 252, 345]",112
P334865_o,"[93, 360, 149, 404]",85
P334865_o,"[149, 348, 208, 401]",808
P334865_o,"[32, 364, 97, 413]",544
P334865_o,"[37, 417, 83, 462]",566
P334865_o,"[83, 415, 133, 460]",514
P334865_o,"[129, 404, 182, 455]",553
P334865_o,"[176, 399, 217, 449]",754
P334865_o,"[218, 402, 273, 447]",737
P334865_o,"[80, 457, 146, 499]",580
P334865_o,"[32, 461, 84, 502]",540
P334865_o,"[141, 452, 213, 501]",266
P334865_o,"[211, 456, 258, 489]",113
P334865_o,"[35, 510, 72, 556]",552
P334865_o,"[69, 508, 99, 557]",839
P334865_o,"[96, 505, 147, 556]",10
P334865_o,"[141, 501, 217, 549]",693
P334865_o,"[216, 505, 276, 548]",10
P334865_o,"[31, 552, 109, 604]",726
P334865_o,"[102, 556, 135, 602]",631
P334865_o,"[130, 545, 197, 593]",357
P334865_o,"[246, 533, 312, 584]",136
P334865_o,"[35, 601, 67, 657]",839
P334865_o,"[62, 602, 122, 643]",350
P334865_o,"[123, 602, 152, 653]",839
P334865_o,"[149, 595, 201, 651]",754
P334865_o,"[199, 604, 239, 631]",1
P334865_o,"[74, 181, 115, 228]",599
P334921_o,"[105.0, 298.0, 167.0, 345.0]",9
P334921_o,"[64.0, 128.0, 139.0, 184.0]",18
P334921_o,"[46.0, 298.0, 116, 344]",498
P334921_o,"[262.0, 296.0, 320, 358]",596
P334921_o,"[251.0, 182.0, 298.0, 247.0]",839
P334921_o,"[78.0, 407.0, 116, 456]",578
P334921_o,"[165.0, 411.0, 230, 471]",302
P334921_o,"[163.0, 287.0, 255.0, 353.0]",14
P334921_o,"[174.0, 186.0, 253.0, 239.0]",98
P334921_o,"[131.0, 237.0, 189, 288]",254
P334921_o,"[131.0, 125.0, 236.0, 185.0]",24
P334921_o,"[107.0, 180.0, 185.0, 236.0]",736
P334921_o,"[212.0, 422.0, 279, 477]",737
P334921_o,"[86.0, 235.0, 142.0, 292.0]",711
P334921_o,"[51.0, 184.0, 116.0, 241.0]",836
P334921_o,"[72.0, 353.0, 140, 401]",132
P334921_o,"[243.0, 252.0, 321, 300]",20
P334921_o,"[173.0, 363.0, 266, 411]",24
P334921_o,"[51, 233, 104, 293]",596
P334921_o,"[182, 238, 267, 296]",566
P334921_o,"[318, 312, 346, 355]",748
P334921_o,"[45, 347, 82, 404]",578
P334921_o,"[125, 350, 186, 413]",302
P334921_o,"[261, 366, 298, 414]",839
P334921_o,"[296, 364, 329, 411]",839
P334921_o,"[112, 418, 203, 469]",132
P334848_o,"[42, 133, 102, 195]",252
P334848_o,"[94, 104, 182, 188]",856
P334848_o,"[173, 92, 278, 170]",142
P334848_o,"[281, 80, 393, 154]",71
P334848_o,"[403, 79, 456, 132]",567
P334848_o,"[46, 213, 110, 268]",252
P334848_o,"[99, 191, 152, 271]",851
P334848_o,"[148, 165, 248, 255]",14
P334848_o,"[244, 155, 336, 238]",248
P334848_o,"[332, 136, 417, 230]",514
P334848_o,"[54, 268, 139, 348]",566
P334848_o,"[136, 252, 247, 323]",248
P334848_o,"[240, 231, 319, 309]",110
P334848_o,"[316, 211, 444, 285]",24
P334848_o,"[66, 337, 198, 406]",248
P334848_o,"[214, 315, 319, 385]",110
P334848_o,"[343, 272, 482, 358]",24
P334848_o,"[64, 411, 122, 462]",1
P334848_o,"[122, 396, 196, 459]",599
P334848_o,"[199, 381, 271, 446]",358
P334848_o,"[270, 377, 365, 445]",490
P334848_o,"[364, 355, 416, 437]",579
P334848_o,"[412, 352, 477, 431]",511
P334863_o,"[146, 42, 217, 80]",380
P334863_o,"[44, 87, 95, 132]",18
P334863_o,"[91, 81, 143, 131]",754
P334863_o,"[140, 80, 226, 134]",24
P334863_o,"[42, 136, 80, 184]",748
P334863_o,"[75, 135, 134, 184]",10
P334863_o,"[133, 134, 159, 174]",661
P334863_o,"[143, 136, 229, 184]",180
P334863_o,"[43, 185, 94, 237]",812
P334863_o,"[89, 186, 193, 239]",744
P334863_o,"[185, 182, 250, 237]",98
P334863_o,"[63, 240, 154, 297]",663
P334863_o,"[209, 244, 261, 299]",498
P334863_o,"[151, 252, 212, 297]",514
P334863_o,"[100, 303, 204, 361]",266
P334863_o,"[202, 301, 269, 357]",164
P334892_o,"[52, 43, 92, 100]",839
P334892_o,"[92, 42, 156, 92]",110
P334892_o,"[149, 41, 276, 95]",266
P334892_o,"[56, 92, 139, 144]",18
P334892_o,"[138, 89, 231, 144]",24
P334892_o,"[234, 91, 273, 147]",748
P334892_o,"[44, 145, 123, 202]",566
P334892_o,"[120, 149, 250, 204]",266
P334892_o,"[249, 146, 315, 201]",164
P334892_o,"[53, 209, 112, 259]",552
P334892_o,"[110, 204, 154, 269]",839
P334892_o,"[155, 206, 228, 253]",252
P334892_o,"[59, 273, 101, 309]",1
P334892_o,"[100, 262, 188, 316]",71
P334892_o,"[190, 259, 302, 319]",236
P334892_o,"[304, 271, 341, 310]",1
P334892_o,"[62, 317, 102, 386]",748
P334892_o,"[91, 312, 180, 379]",86
P334892_o,"[169, 318, 262, 379]",635
P334892_o,"[256, 316, 342, 380]",260
P334896_o,"[162, 87, 204, 130]",869
P334896_o,"[200, 87, 237, 127]",661
P334896_o,"[86, 118, 171, 174]",5
P334896_o,"[154, 131, 183, 169]",661
P334896_o,"[178, 129, 223, 169]",380
P334896_o,"[217, 122, 260, 178]",869
P334896_o,"[154, 170, 234, 205]",258
P334896_o,"[43, 206, 125, 254]",16
P334896_o,"[120, 204, 167, 248]",828
P334896_o,"[160, 202, 228, 249]",142
P334896_o,"[22, 246, 82, 282]",252
P334896_o,"[85, 245, 160, 288]",298
P334896_o,"[158, 246, 233, 289]",358
P334896_o,"[58, 288, 117, 335]",812
P334896_o,"[107, 282, 158, 333]",589
P334896_o,"[147, 285, 189, 337]",464
P334896_o,"[184, 281, 237, 331]",548
P334896_o,"[54, 328, 108, 381]",110
P334896_o,"[107, 330, 183, 379]",491
P334896_o,"[179, 325, 218, 373]",552
P334896_o,"[28, 380, 109, 425]",490
P334896_o,"[104, 379, 142, 421]",859
P334896_o,"[141, 380, 208, 421]",561
P334896_o,"[56, 429, 95, 475]",839
P334896_o,"[81, 420, 167, 472]",736
P334896_o,"[164, 423, 206, 471]",839
P334896_o,"[41, 473, 134, 520]",497
P334896_o,"[125, 467, 177, 513]",10
P334896_o,"[160, 514, 218, 569]",561
P336635_o,"[492, 162, 721, 365]",98
P336635_o,"[233, 406, 457, 614]",737
P336635_o,"[394, 374, 596, 558]",252
P336635_o,"[585, 368, 804, 562]",490
P336635_o,"[229, 578, 454, 783]",89
P336635_o,"[460, 557, 632, 755]",839
P336635_o,"[615, 552, 810, 730]",252
P336635_o,"[538, 796, 685, 914]",1
P336635_o,"[451, 911, 674, 1112]",561
P336635_o,"[768, 927, 873, 1041]",839
P336635_o,"[226, 1145, 343, 1262]",1
P336635_o,"[340, 1115, 599, 1264]",142
P336635_o,"[535, 1072, 707, 1228]",711
P336635_o,"[630, 749, 755, 934]",839
P336635_o,"[722, 745, 886, 913]",756
P334921_r,"[112, 186, 177, 236]",552
P334921_r,"[175, 180, 224, 239]",839
P334921_r,"[115, 250, 168, 303]",748
P334921_r,"[149, 237, 198, 299]",883
P334921_r,"[119, 301, 183, 346]",252
P334921_r,"[118, 358, 185, 407]",252
P334921_r,"[124, 417, 187, 462]",252
P334921_r,"[131, 464, 204, 519]",599
P334921_r,"[140, 521, 204, 567]",495
P334892_r,"[273.0, 246.0, 348.0, 308.0]",490
P334892_r,"[37.0, 202.0, 100, 264]",552
P334892_r,"[48.0, 134.0, 103, 198]",552
P334892_r,"[133.0, 193.0, 265.0, 260.0]",495
P334892_r,"[155.0, 319.0, 221, 372]",552
P334892_r,"[136.0, 123.0, 247.0, 195.0]",514
P334892_r,"[41.0, 261.0, 167, 319]",14
P334892_r,"[44.0, 326.0, 162, 373]",490
P334892_r,"[123.0, 381.0, 186.0, 436.0]",596
P334892_r,"[37.0, 380.0, 134, 442]",71
P334892_r,"[182.0, 375.0, 266, 445]",828
P334892_r,"[249.0, 112.0, 345.0, 183.0]",636
P334892_r,"[141.0, 251.0, 275, 318]",635
P334892_r,"[257.0, 178.0, 357.0, 248.0]",514
P334892_r,"[136.0, 58.0, 239, 128]",514
P334892_r,"[231.0, 54.0, 318, 116]",24
P334892_r,"[50, 75, 104, 137]",552
P334892_r,"[102, 73, 144, 131]",839
P334892_r,"[100, 133, 141, 197]",839
P334892_r,"[95, 204, 137, 259]",839
P334892_r,"[220, 311, 283, 369]",839
P334848_r,"[74, 40, 233, 108]",731
P334848_r,"[232, 41, 321, 101]",71
P334848_r,"[316, 46, 417, 102]",590
P334848_r,"[416, 44, 481, 101]",230
P334848_r,"[477, 40, 541, 103]",754
P334848_r,"[72, 106, 130, 162]",252
P334848_r,"[125, 102, 203, 156]",181
P334848_r,"[203, 101, 248, 162]",869
P334848_r,"[247, 103, 311, 159]",252
P334848_r,"[311, 100, 394, 157]",118
P334848_r,"[393, 104, 470, 169]",737
P334848_r,"[464, 105, 540, 161]",142
P334848_r,"[70, 166, 143, 228]",514
P334848_r,"[141, 159, 215, 229]",255
P334848_r,"[213, 165, 317, 219]",248
P334848_r,"[318, 150, 438, 214]",112
P334848_r,"[437, 154, 516, 212]",567
P334848_r,"[424, 207, 481, 274]",580
P334831_r,"[257, 198, 311, 242]",812
P334831_r,"[309, 194, 353, 243]",754
P334831_r,"[225, 465, 295, 513]",736
P334831_r,"[204, 422, 240, 467]",552
P334831_r,"[234, 419, 267, 465]",839
P334831_r,"[172, 422, 211, 473]",380
P334831_r,"[265, 420, 304, 464]",252
P334831_r,"[131, 384, 189, 422]",737
P334831_r,"[175, 385, 213, 422]",252
P334831_r,"[264, 370, 323, 419]",10
P334831_r,"[82, 342, 129, 385]",380
P334831_r,"[120, 348, 151, 382]",1
P334831_r,"[216, 333, 245, 378]",748
P334831_r,"[228, 332, 274, 375]",10
P334831_r,"[263, 330, 307, 370]",464
P334831_r,"[293, 325, 338, 374]",117
P334831_r,"[213, 388, 236, 417]",1
P334831_r,"[231, 378, 268, 420]",464
P334831_r,"[148, 343, 218, 383]",663
P334831_r,"[110, 296, 159, 345]",464
P334831_r,"[246, 285, 274, 336]",869
P334831_r,"[270, 279, 306, 325]",112
P334831_r,"[302, 286, 349, 325]",85
P334831_r,"[119, 250, 157, 295]",661
P334831_r,"[150, 245, 267, 294]",380
P334831_r,"[263, 236, 324, 288]",812
P334831_r,"[314, 237, 372, 283]",754
P334831_r,"[214, 201, 264, 241]",495
P334831_r,"[165, 207, 222, 244]",121
P334831_r,"[259, 153, 314, 200]",599
P334831_r,"[306, 145, 343, 192]",708
P334831_r,"[199, 28, 256, 76]",136
P334831_r,"[137, 160, 183, 203]",112
P336178_o,"[50, 56, 110, 123]",839
P336178_o,"[96, 59, 200, 104]",110
P336178_o,"[199, 47, 310, 104]",266
P336178_o,"[302, 64, 379, 117]",164
P336178_o,"[200, 110, 243, 162]",748
P336178_o,"[249, 110, 331, 157]",252
P336178_o,"[329, 113, 407, 171]",10
P336178_o,"[32, 179, 106, 247]",812
P336178_o,"[89, 176, 135, 234]",661
P336178_o,"[130, 173, 218, 228]",736
P336178_o,"[224, 156, 312, 223]",98
P336178_o,"[30, 246, 62, 317]",839
P336178_o,"[52, 241, 146, 305]",110
P336178_o,"[288, 224, 373, 294]",164
P336178_o,"[150, 243, 291, 299]",266
P336178_o,"[40, 314, 101, 381]",596
P336178_o,"[188, 298, 321, 359]",254
P336178_o,"[172, 361, 249, 435]",856
P336178_o,"[32, 442, 84, 517]",839
P336178_o,"[89, 430, 183, 500]",110
P336178_o,"[232, 416, 325, 485]",808
P336178_o,"[40, 512, 128, 581]",18
P336178_o,"[128, 510, 226, 565]",754
P336178_o,"[224, 497, 309, 552]",380
P336178_o,"[311, 487, 386, 544]",566
P336178_o,"[51, 588, 135, 639]",566
P336178_o,"[139, 581, 187, 629]",1
P336178_o,"[174, 568, 281, 631]",724
P336178_o,"[274, 559, 395, 622]",260
P336178_o,"[55, 651, 144, 700]",736
P336178_o,"[216, 644, 303, 701]",98
P336178_o,"[30, 383, 79, 439]",1
P336178_o,"[78, 375, 167, 431]",71
P336178_o,"[256, 351, 335, 408]",561
P334842_o,"[163, 37, 196, 66]",1
P334842_o,"[197, 32, 272, 66]",663
P334842_o,"[270, 31, 304, 63]",631
P334842_o,"[302, 26, 342, 60]",869
P334842_o,"[80, 65, 112, 105]",851
P334842_o,"[114, 64, 177, 100]",143
P334842_o,"[186, 60, 232, 102]",292
P334842_o,"[232, 58, 282, 95]",98
P334842_o,"[281, 61, 326, 95]",859
P334842_o,"[323, 62, 368, 92]",132
P334842_o,"[55, 101, 138, 139]",663
P334842_o,"[135, 92, 163, 134]",631
P334842_o,"[162, 94, 195, 129]",869
P334842_o,"[202, 94, 259, 134]",89
P334842_o,"[184, 108, 202, 125]",576
P334842_o,"[164, 75, 186, 95]",576
P334842_o,"[255, 90, 312, 132]",136
P334842_o,"[308, 93, 349, 125]",111
P334842_o,"[37, 151, 68, 173]",1
P334842_o,"[63, 139, 111, 172]",754
P334842_o,"[112, 132, 174, 170]",89
P334842_o,"[171, 128, 207, 173]",839
P334842_o,"[205, 130, 273, 169]",118
P334842_o,"[271, 127, 327, 162]",566
P334842_o,"[353, 124, 379, 168]",548
P334842_o,"[323, 128, 354, 163]",20
P334842_o,"[65, 164, 130, 217]",511
P334842_o,"[128, 168, 188, 207]",552
P334836_r,"[211, 132, 270, 190]",380
P334836_r,"[264, 145, 293, 178]",592
P334836_r,"[98, 142, 164, 191]",85
P334836_r,"[161, 140, 216, 193]",253
P334836_r,"[295, 138, 354, 186]",552
P334836_r,"[351, 146, 395, 189]",839
P334836_r,"[76, 187, 146, 237]",248
P334836_r,"[132, 189, 224, 236]",24
P334836_r,"[246, 177, 327, 231]",514
P334836_r,"[321, 185, 392, 236]",164
P334836_r,"[61, 231, 128, 282]",181
P334836_r,"[122, 232, 187, 280]",567
P334836_r,"[171, 236, 198, 268]",592
P334836_r,"[198, 232, 234, 277]",1
P334836_r,"[231, 228, 285, 278]",71
P334836_r,"[279, 226, 352, 281]",836
P334836_r,"[343, 231, 400, 284]",828
P334836_r,"[58, 279, 127, 328]",118
P334836_r,"[119, 272, 213, 323]",724
P334836_r,"[209, 271, 301, 323]",464
P334836_r,"[296, 277, 353, 324]",839
P334836_r,"[351, 276, 428, 325]",86
P334836_r,"[30, 319, 99, 381]",514
P334836_r,"[87, 321, 143, 377]",825
P334836_r,"[123, 316, 167, 373]",661
P334836_r,"[169, 312, 246, 370]",514
P334836_r,"[238, 311, 309, 371]",553
P334836_r,"[302, 318, 368, 367]",71
P334836_r,"[363, 321, 429, 374]",754
P334836_r,"[61, 366, 132, 422]",86
P334836_r,"[116, 369, 204, 417]",490
P334836_r,"[190, 380, 216, 408]",592
P334836_r,"[214, 364, 292, 427]",496
P334836_r,"[284, 365, 366, 424]",754
P334836_r,"[359, 363, 419, 417]",566
P334836_r,"[106, 410, 163, 466]",358
P334836_r,"[156, 417, 201, 473]",869
P334836_r,"[63, 417, 122, 471]",599
P334836_r,"[187, 418, 257, 464]",112
P334836_r,"[252, 410, 306, 475]",437
P334836_r,"[300, 413, 366, 469]",86
P334836_r,"[348, 405, 430, 469]",635
P334836_r,"[226, 467, 275, 515]",839
P334836_r,"[264, 476, 299, 507]",592
P334836_r,"[302, 465, 345, 516]",839
P334836_r,"[340, 463, 407, 514]",248
P334836_r,"[217, 511, 303, 563]",86
P334836_r,"[270, 517, 332, 558]",112
P334836_r,"[321, 523, 343, 553]",592
P334836_r,"[343, 506, 407, 556]",86
VAT13604Vs_o,"[1513, 283, 1657, 433]",859
VAT13604Vs_o,"[1646, 294, 1726, 405]",1
VAT13604Vs_o,"[1720, 296, 1990, 432]",495
VAT13604Vs_o,"[1925, 272, 2211, 446]",110
VAT13604Vs_o,"[2342, 285, 2652, 431]",248
VAT13604Vs_o,"[2557, 239, 2773, 417]",110
VAT13604Vs_o,"[1240, 401, 1557, 535]",248
VAT13604Vs_o,"[1464, 394, 1749, 544]",134
VAT13604Vs_o,"[1705, 408, 1929, 556]",141
VAT13604Vs_o,"[1921, 408, 2192, 558]",111
VAT13604Vs_o,"[2246, 413, 2618, 559]",733
VAT13604Vs_o,"[2543, 437, 2709, 549]",869
VAT13604Vs_o,"[2713, 432, 2885, 564]",839
VAT13604Vs_o,"[591, 526, 854, 673]",686
VAT13604Vs_o,"[847, 522, 1099, 679]",552
VAT13604Vs_o,"[1102, 537, 1266, 665]",748
VAT13604Vs_o,"[1254, 526, 1689, 659]",514
VAT13604Vs_o,"[1639, 512, 1765, 652]",661
VAT13604Vs_o,"[1794, 555, 2118, 661]",495
VAT13604Vs_o,"[2325, 555, 2582, 664]",112
VAT13604Vs_o,"[2570, 536, 2840, 679]",589
VAT13604Vs_o,"[2803, 558, 3018, 684]",498
VAT13604Vs_o,"[219, 743, 479, 926]",127
VAT13604Vs_o,"[430, 719, 694, 888]",127
VAT13604Vs_o,"[692, 695, 958, 843]",358
VAT13604Vs_o,"[1093, 698, 1379, 799]",1
VAT13604Vs_o,"[1347, 686, 1655, 821]",681
VAT13604Vs_o,"[1641, 699, 1817, 842]",839
VAT13604Vs_o,"[1805, 677, 2150, 822]",85
VAT13604Vs_o,"[2194, 712, 2499, 825]",14
VAT13604Vs_o,"[2514, 688, 2831, 840]",350
VAT13604Vs_o,"[2778, 719, 3022, 855]",10
VAT13604Vs_o,"[306, 884, 510, 1038]",599
VAT13604Vs_o,"[502, 873, 701, 1013]",469
VAT13604Vs_o,"[644, 827, 1137, 996]",162
VAT13604Vs_o,"[1122, 815, 1377, 975]",490
VAT13604Vs_o,"[1389, 821, 1520, 938]",1
